,imhk_acceptance_rate,imhk_acceptance_rate,ess,ess,tv_distance,tv_distance,tv_distance,speedup,speedup
,mean,std,mean,std,count,mean,std,mean,std
basis_type,,,,,,,,,
NTRU,0.0,0.0,500.0,0.0,0,,,16.6714,0.1986
PrimeCyclotomic,0.0,0.0,500.0,0.0,0,,,18.8246,0.1604
identity,0.6322,0.013,93.104,71.4544,23,1.0,0.0,30.636,51.3738
q-ary,0.6225,0.0115,45.0393,28.1284,0,,,44.9481,59.9737
